DDI-MedLine.d139.s0|DDI-MedLine.d139.s0.e0|DDI-MedLine.d139.s0.e1|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e2|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e3|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e4|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e5|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e6|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e1|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e3|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e4|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e5|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e6|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e2|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e4|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e5|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e6|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e3|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e5|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e6|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e4|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e5|DDI-DrugBank.d225.s6.e6|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e5|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e5|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e5|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e5|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e5|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e6|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e6|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e6|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e6|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e6|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e7|DDI-DrugBank.d225.s6.e8|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e7|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e7|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e7|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e8|DDI-DrugBank.d225.s6.e9|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e8|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e8|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e9|DDI-DrugBank.d225.s6.e10|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e9|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e10|DDI-DrugBank.d225.s6.e11|0|null
DDI-DrugBank.d225.s9|DDI-DrugBank.d225.s9.e0|DDI-DrugBank.d225.s9.e1|1|effect
DDI-DrugBank.d225.s11|DDI-DrugBank.d225.s11.e0|DDI-DrugBank.d225.s11.e1|1|int
DDI-DrugBank.d225.s12|DDI-DrugBank.d225.s12.e0|DDI-DrugBank.d225.s12.e1|1|effect
DDI-DrugBank.d225.s13|DDI-DrugBank.d225.s13.e0|DDI-DrugBank.d225.s13.e1|1|int
DDI-DrugBank.d270.s9|DDI-DrugBank.d270.s9.e0|DDI-DrugBank.d270.s9.e1|1|int
DDI-DrugBank.d270.s9|DDI-DrugBank.d270.s9.e0|DDI-DrugBank.d270.s9.e2|1|int
DDI-DrugBank.d270.s9|DDI-DrugBank.d270.s9.e1|DDI-DrugBank.d270.s9.e2|1|int
DDI-DrugBank.d270.s11|DDI-DrugBank.d270.s11.e0|DDI-DrugBank.d270.s11.e1|1|int
DDI-DrugBank.d270.s18|DDI-DrugBank.d270.s18.e0|DDI-DrugBank.d270.s18.e1|1|int
DDI-DrugBank.d270.s20|DDI-DrugBank.d270.s20.e0|DDI-DrugBank.d270.s20.e1|1|advise
DDI-DrugBank.d270.s24|DDI-DrugBank.d270.s24.e0|DDI-DrugBank.d270.s24.e1|0|null
DDI-DrugBank.d270.s25|DDI-DrugBank.d270.s25.e0|DDI-DrugBank.d270.s25.e1|0|null
DDI-DrugBank.d270.s26|DDI-DrugBank.d270.s26.e0|DDI-DrugBank.d270.s26.e1|0|null
DDI-DrugBank.d270.s36|DDI-DrugBank.d270.s36.e0|DDI-DrugBank.d270.s36.e1|1|mechanism
DDI-DrugBank.d270.s36|DDI-DrugBank.d270.s36.e0|DDI-DrugBank.d270.s36.e2|1|int
DDI-DrugBank.d270.s36|DDI-DrugBank.d270.s36.e1|DDI-DrugBank.d270.s36.e2|1|mechanism
DDI-DrugBank.d270.s37|DDI-DrugBank.d270.s37.e0|DDI-DrugBank.d270.s37.e1|0|null
DDI-DrugBank.d270.s39|DDI-DrugBank.d270.s39.e0|DDI-DrugBank.d270.s39.e1|1|int
DDI-DrugBank.d270.s39|DDI-DrugBank.d270.s39.e0|DDI-DrugBank.d270.s39.e2|1|int
DDI-DrugBank.d270.s39|DDI-DrugBank.d270.s39.e1|DDI-DrugBank.d270.s39.e2|1|int
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e0|DDI-DrugBank.d270.s42.e1|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e0|DDI-DrugBank.d270.s42.e2|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e0|DDI-DrugBank.d270.s42.e3|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e0|DDI-DrugBank.d270.s42.e4|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e1|DDI-DrugBank.d270.s42.e2|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e1|DDI-DrugBank.d270.s42.e3|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e1|DDI-DrugBank.d270.s42.e4|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e2|DDI-DrugBank.d270.s42.e3|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e2|DDI-DrugBank.d270.s42.e4|0|null
DDI-DrugBank.d270.s42|DDI-DrugBank.d270.s42.e3|DDI-DrugBank.d270.s42.e4|1|mechanism
DDI-DrugBank.d270.s45|DDI-DrugBank.d270.s45.e0|DDI-DrugBank.d270.s45.e1|1|int
DDI-DrugBank.d270.s53|DDI-DrugBank.d270.s53.e0|DDI-DrugBank.d270.s53.e1|0|null
DDI-DrugBank.d270.s53|DDI-DrugBank.d270.s53.e0|DDI-DrugBank.d270.s53.e2|1|int
DDI-DrugBank.d270.s53|DDI-DrugBank.d270.s53.e1|DDI-DrugBank.d270.s53.e2|1|mechanism
DDI-DrugBank.d270.s54|DDI-DrugBank.d270.s54.e0|DDI-DrugBank.d270.s54.e1|1|advise
DDI-DrugBank.d270.s58|DDI-DrugBank.d270.s58.e0|DDI-DrugBank.d270.s58.e1|1|advise
DDI-DrugBank.d270.s58|DDI-DrugBank.d270.s58.e0|DDI-DrugBank.d270.s58.e2|1|int
DDI-DrugBank.d270.s58|DDI-DrugBank.d270.s58.e1|DDI-DrugBank.d270.s58.e2|1|int
DDI-DrugBank.d270.s63|DDI-DrugBank.d270.s63.e0|DDI-DrugBank.d270.s63.e1|0|null
DDI-DrugBank.d270.s63|DDI-DrugBank.d270.s63.e0|DDI-DrugBank.d270.s63.e2|0|null
DDI-DrugBank.d270.s63|DDI-DrugBank.d270.s63.e1|DDI-DrugBank.d270.s63.e2|0|null
DDI-DrugBank.d270.s65|DDI-DrugBank.d270.s65.e0|DDI-DrugBank.d270.s65.e1|0|null
DDI-DrugBank.d270.s65|DDI-DrugBank.d270.s65.e0|DDI-DrugBank.d270.s65.e2|0|null
DDI-DrugBank.d270.s65|DDI-DrugBank.d270.s65.e1|DDI-DrugBank.d270.s65.e2|0|null
DDI-DrugBank.d270.s69|DDI-DrugBank.d270.s69.e0|DDI-DrugBank.d270.s69.e1|0|null
DDI-DrugBank.d270.s69|DDI-DrugBank.d270.s69.e0|DDI-DrugBank.d270.s69.e2|0|null
DDI-DrugBank.d270.s69|DDI-DrugBank.d270.s69.e1|DDI-DrugBank.d270.s69.e2|0|null
DDI-DrugBank.d270.s75|DDI-DrugBank.d270.s75.e0|DDI-DrugBank.d270.s75.e1|0|null
DDI-DrugBank.d270.s75|DDI-DrugBank.d270.s75.e0|DDI-DrugBank.d270.s75.e2|0|null
DDI-DrugBank.d270.s75|DDI-DrugBank.d270.s75.e1|DDI-DrugBank.d270.s75.e2|0|null
DDI-DrugBank.d476.s0|DDI-DrugBank.d476.s0.e0|DDI-DrugBank.d476.s0.e1|1|advise
DDI-DrugBank.d476.s1|DDI-DrugBank.d476.s1.e0|DDI-DrugBank.d476.s1.e1|0|null
DDI-DrugBank.d476.s1|DDI-DrugBank.d476.s1.e0|DDI-DrugBank.d476.s1.e2|0|null
DDI-DrugBank.d476.s1|DDI-DrugBank.d476.s1.e1|DDI-DrugBank.d476.s1.e2|0|null
DDI-DrugBank.d476.s2|DDI-DrugBank.d476.s2.e0|DDI-DrugBank.d476.s2.e1|1|advise
DDI-DrugBank.d476.s2|DDI-DrugBank.d476.s2.e0|DDI-DrugBank.d476.s2.e2|1|advise
DDI-DrugBank.d476.s2|DDI-DrugBank.d476.s2.e1|DDI-DrugBank.d476.s2.e2|1|int
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e1|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e2|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e3|1|advise
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e4|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e5|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e6|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e0|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e2|1|effect
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e3|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e4|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e5|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e6|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e1|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e2|DDI-DrugBank.d476.s3.e3|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e2|DDI-DrugBank.d476.s3.e4|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e2|DDI-DrugBank.d476.s3.e5|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e2|DDI-DrugBank.d476.s3.e6|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e2|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e2|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e3|DDI-DrugBank.d476.s3.e4|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e3|DDI-DrugBank.d476.s3.e5|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e3|DDI-DrugBank.d476.s3.e6|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e3|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e3|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e4|DDI-DrugBank.d476.s3.e5|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e4|DDI-DrugBank.d476.s3.e6|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e4|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e4|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e5|DDI-DrugBank.d476.s3.e6|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e5|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e5|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e6|DDI-DrugBank.d476.s3.e7|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e6|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s3|DDI-DrugBank.d476.s3.e7|DDI-DrugBank.d476.s3.e8|0|null
DDI-DrugBank.d476.s4|DDI-DrugBank.d476.s4.e0|DDI-DrugBank.d476.s4.e1|1|mechanism
DDI-DrugBank.d476.s4|DDI-DrugBank.d476.s4.e0|DDI-DrugBank.d476.s4.e2|1|int
DDI-DrugBank.d476.s4|DDI-DrugBank.d476.s4.e1|DDI-DrugBank.d476.s4.e2|1|int
DDI-DrugBank.d476.s6|DDI-DrugBank.d476.s6.e0|DDI-DrugBank.d476.s6.e1|0|null
DDI-DrugBank.d476.s6|DDI-DrugBank.d476.s6.e0|DDI-DrugBank.d476.s6.e2|1|advise
DDI-DrugBank.d476.s6|DDI-DrugBank.d476.s6.e1|DDI-DrugBank.d476.s6.e2|1|advise
DDI-DrugBank.d476.s7|DDI-DrugBank.d476.s7.e0|DDI-DrugBank.d476.s7.e1|1|int
DDI-DrugBank.d240.s0|DDI-DrugBank.d240.s0.e0|DDI-DrugBank.d240.s0.e1|0|null
DDI-DrugBank.d240.s0|DDI-DrugBank.d240.s0.e0|DDI-DrugBank.d240.s0.e2|0|null
DDI-DrugBank.d240.s0|DDI-DrugBank.d240.s0.e1|DDI-DrugBank.d240.s0.e2|1|int
DDI-DrugBank.d240.s1|DDI-DrugBank.d240.s1.e0|DDI-DrugBank.d240.s1.e1|1|effect
DDI-DrugBank.d240.s1|DDI-DrugBank.d240.s1.e0|DDI-DrugBank.d240.s1.e2|1|effect
DDI-DrugBank.d240.s1|DDI-DrugBank.d240.s1.e1|DDI-DrugBank.d240.s1.e2|0|null
DDI-DrugBank.d240.s2|DDI-DrugBank.d240.s2.e0|DDI-DrugBank.d240.s2.e1|1|int
DDI-DrugBank.d240.s2|DDI-DrugBank.d240.s2.e0|DDI-DrugBank.d240.s2.e2|1|int
DDI-DrugBank.d240.s2|DDI-DrugBank.d240.s2.e1|DDI-DrugBank.d240.s2.e2|1|int
DDI-DrugBank.d233.s0|DDI-DrugBank.d233.s0.e0|DDI-DrugBank.d233.s0.e1|1|int
DDI-DrugBank.d233.s0|DDI-DrugBank.d233.s0.e0|DDI-DrugBank.d233.s0.e2|1|int
DDI-DrugBank.d233.s0|DDI-DrugBank.d233.s0.e1|DDI-DrugBank.d233.s0.e2|1|int
DDI-DrugBank.d233.s1|DDI-DrugBank.d233.s1.e0|DDI-DrugBank.d233.s1.e1|1|int
DDI-DrugBank.d233.s1|DDI-DrugBank.d233.s1.e0|DDI-DrugBank.d233.s1.e2|1|int
DDI-DrugBank.d233.s1|DDI-DrugBank.d233.s1.e1|DDI-DrugBank.d233.s1.e2|1|int
DDI-DrugBank.d233.s3|DDI-DrugBank.d233.s3.e0|DDI-DrugBank.d233.s3.e1|1|effect
DDI-DrugBank.d233.s3|DDI-DrugBank.d233.s3.e0|DDI-DrugBank.d233.s3.e2|1|effect
DDI-DrugBank.d233.s3|DDI-DrugBank.d233.s3.e1|DDI-DrugBank.d233.s3.e2|0|null
DDI-DrugBank.d453.s0|DDI-DrugBank.d453.s0.e0|DDI-DrugBank.d453.s0.e1|1|mechanism
DDI-DrugBank.d453.s0|DDI-DrugBank.d453.s0.e0|DDI-DrugBank.d453.s0.e2|1|int
DDI-DrugBank.d453.s0|DDI-DrugBank.d453.s0.e1|DDI-DrugBank.d453.s0.e2|1|int
